pose_id,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6
50,2487,1809,1197,1062,1301,1998,3383
51,2236,1809,1197,1062,1303,2114,3378
52,2151,1809,1197,1061,1277,2270,3377
53,2056,1810,1198,1061,1211,2366,3376
54,1981,1811,1198,1061,1186,2466,3376
55,1946,1809,1198,1061,1171,2757,3376
56,1881,1813,1199,1061,1137,3122,3382
57,1612,2218,1140,1215,958,2296,2506
58,1457,2218,1141,1299,955,2357,2419
59,1311,2218,1139,1365,955,2165,2123
60,620,1961,1155,2602,962,2168,339
61,555,1961,1036,2604,1155,2503,340
62,973,1891,2138,2101,2034,2153,3172
63,975,1743,2139,2105,2035,2092,3173
64,975,1631,2169,2102,2035,1844,3173
