pose_id,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6
193,1190,1931,3019,2103,1247,2048,2930
194,1148,1828,3106,2057,1105,2192,2908
195,1048,1429,3108,2072,953,2443,2927
196,918,1270,3109,2091,953,2655,3193
197,785,1120,3100,2090,955,2766,3426
198,587,1037,3096,2076,955,2852,3670
199,337,1029,3094,2091,1007,2864,3754
200,336,1186,3090,2232,1177,2747,3752
201,287,852,1265,3034,1920,3345,1710
202,287,852,1266,3088,1765,2502,1493
203,285,852,1265,3087,2263,2477,998
204,286,852,1265,3051,2264,2522,604
205,286,852,1265,3055,2262,2540,337
206,337,851,1265,3271,2022,1921,3753
207,337,852,1265,3273,2019,1781,3753
208,340,852,1265,3275,1607,1709,3557
209,339,852,1265,3274,1511,1583,3557
210,339,852,1265,3274,1296,1513,3554
211,340,852,1265,3274,1016,1903,3319
212,354,852,1265,3273,2342,2972,1558
213,351,852,1265,3274,2341,3344,1672
214,1024,2071,2096,2112,2051,839,3020
215,1026,2074,2096,2113,2051,2091,3020
216,1027,2076,2095,2116,2051,3345,3023
217,1024,2072,2096,2112,2049,840,3020
218,1026,2077,2096,2112,2049,2058,3020
219,1026,2079,2096,2116,2051,3345,3022
220,1026,2078,2096,2116,2050,2059,3022
221,1102,2055,2059,829,2095,2055,3108
222,1103,2061,2057,2079,2095,2060,3108
223,1104,2068,2057,3275,2097,2070,3110
224,1105,2063,2058,2090,2095,2061,3110
225,1102,2055,2056,829,2089,2048,3101
226,1102,2064,2055,2077,2090,2055,3102
227,1103,2069,2054,3275,2092,2066,3104
228,1103,2064,2054,2081,2091,2056,3104
