pose_id,timestamp_ms,target_tick_0,target_tick_1,target_tick_2,target_tick_3,target_tick_4,target_tick_5,target_tick_6,actual_tick_0,actual_tick_1,actual_tick_2,actual_tick_3,actual_tick_4,actual_tick_5,actual_tick_6,actual_rad_0,actual_rad_1,actual_rad_2,actual_rad_3,actual_rad_4,actual_rad_5,actual_rad_6,moving_camera_q0,moving_camera_qx,moving_camera_qy,moving_camera_qz,moving_camera_tx_mm,moving_camera_ty_mm,moving_camera_tz_mm,moving_camera_error,moving_camera_frame,moving_camera_visible_markers,moving_accepted_samples,fixed_camera_q0,fixed_camera_qx,fixed_camera_qy,fixed_camera_qz,fixed_camera_tx_mm,fixed_camera_ty_mm,fixed_camera_tz_mm,fixed_camera_error,fixed_camera_frame,fixed_camera_visible_markers,fixed_accepted_samples,moving_relative_fixed_q0,moving_relative_fixed_qx,moving_relative_fixed_qy,moving_relative_fixed_qz,moving_relative_fixed_tx_mm,moving_relative_fixed_ty_mm,moving_relative_fixed_tz_mm,moving_relative_fixed_error,moving_relative_fixed_frame,moving_relative_fixed_visible_markers
1161,1787150726332,1243,2592,1873,3162,2093,2456,3440,1246,2597,1873,3164,2087,2453,3445,-1.21573930206,0.845318597633,-0.276731602154,1.652655607,0.013805827091,0.634750751463,2.14925649509,0.16228163112,0.583422139448,-0.355021047415,0.712210176349,9.20916264852,402.599840291,-1893.4637085,0.190509567658,25669296,4,30,0.18926383225,-0.430575012212,-0.346488065379,-0.811622067967,-41.7030358632,99.4996815999,-1788.43727214,0.37443789343,25669296,4,30,-0.675527891675,0.715210368055,0.155894382387,-0.0885050198368,-118.248155693,-219.729238849,207.915236962,0.420116211787,25669296,4
1162,1787150737477,1168,2592,1873,3189,2093,2422,3354,1170,2597,1873,3188,2086,2423,3360,-1.33094651771,0.845318597633,-0.276731602154,1.69000375631,0.0122718463031,0.588418579823,2.01848569904,0.168447679187,0.581433588666,-0.353653363322,0.713084609257,9.28327356974,405.108349609,-1860.42338867,0.191955036422,25669965,4,30,0.189757485199,-0.431147086355,-0.346293982207,-0.811285871087,-41.660973231,99.4771827698,-1788.36299642,0.391046117743,25669965,4,30,-0.674766626546,0.716807987596,0.155488548617,-0.0818512056547,-91.0558085384,-208.119572062,222.696003587,0.435618872651,25669965,4
1163,1787150748862,1067,2592,1874,3193,2093,2402,3254,1069,2597,1874,3192,2087,2401,3258,-1.48405084378,0.845318597633,-0.275251754014,1.69622844786,0.013805827091,0.554441653954,1.86156074378,0.16668890176,0.58264942708,-0.351706561971,0.713468253968,6.01962064107,409.864784749,-1819.94053548,0.195101527373,25670649,4,30,0.18996509097,-0.431272283541,-0.346104021092,-0.811251803231,-41.6160739899,99.4631357829,-1788.36544596,0.379905516903,25670649,4,30,-0.676690828772,0.714828168948,0.155856045378,-0.0825778678162,-55.7313931839,-197.288649647,239.971935643,0.427074709807,25670649,4
1164,1787150761018,969,2592,1874,3192,2093,2423,3147,972,2597,1874,3192,2086,2421,3150,-1.63109163219,0.845318597633,-0.275251754014,1.69622844786,0.0122718463031,0.58532976838,1.6954049088,0.188176607186,0.576307979545,-0.36329513538,0.707442804635,2.52019405365,401.653377279,-1780.56108398,0.205086099108,25671381,4,30,0.189621608549,-0.431174946382,-0.346396028791,-0.811259269544,-41.5429489136,99.4289627075,-1788.37489014,0.394125630458,25671381,4,30,-0.660882751992,0.730199408894,0.158798598653,-0.069468096531,-20.7226888258,-178.129816086,247.35106971,0.444291931765,25671381,4
1165,1787150773271,892,2596,1874,3187,2092,2413,3068,894,2600,1874,3192,2086,2413,3074,-1.74933061668,0.849929426347,-0.275251754014,1.69622844786,0.0122718463031,0.57297452261,1.57848043233,0.192594884968,0.576944882408,-0.364016145383,0.705360942248,0.836192258199,395.310088094,-1750.58605957,0.212142074108,25672116,4,30,0.189384771921,-0.4312486577,-0.34670245269,-0.811144507899,-41.4888411204,99.3956982931,-1788.39956868,0.407991399368,25672116,4,30,-0.65827653171,0.732140926411,0.161633717512,-0.0672027755148,5.44575657904,-162.796231157,253.484372043,0.45984915088,25672116,4
1166,1787150784422,823,2605,1875,3141,2089,2353,3070,826,2609,1874,3152,2086,2355,3074,-1.852410757,0.86376191249,-0.275251754014,1.63398153234,0.0122718463031,0.483398990773,1.57848043233,0.11517946106,0.597644293865,-0.351164446311,0.71150440716,-7.39063415527,410.508847046,-1718.86949463,0.24721981287,25672785,4,30,0.189752421029,-0.431736626943,-0.34652607335,-0.810874333148,-41.4587343852,99.3662320455,-1788.35892334,0.376523170869,25672785,4,30,-0.691422374964,0.694436708298,0.15071028795,-0.130304131455,36.2289958042,-165.66892413,272.10367595,0.450430165593,25672785,4
1167,1787150795698,830,2634,1874,3048,2084,2465,3073,828,2639,1873,3059,2086,2466,3073,-1.84937898817,0.909870199634,-0.276731602154,1.48925745376,0.0122718463031,0.65482802584,1.57694195237,0.142595778215,0.598884374094,-0.370377638402,0.695574838154,-3.71303462982,422.496767171,-1721.93929443,0.231654385229,25673463,4,30,0.189791981309,-0.431685955887,-0.34633622823,-0.810973153894,-41.4619747162,99.3781585693,-1788.39147949,0.37724109292,25673463,4,30,-0.667283764185,0.716489134203,0.164500638941,-0.11964630547,31.4553482857,-172.977369252,281.666294385,0.442690181034,25673463,4
1168,1787150807350,927,2674,1873,3018,2086,2491,3168,925,2679,1873,3030,2086,2488,3162,-1.70233819976,0.971347915825,-0.276731602154,1.44412844001,0.0122718463031,0.688804951709,1.71386666824,0.158930876206,0.599369055152,-0.375850056547,0.688646823348,15.9236275991,435.099982707,-1765.3594401,0.262839697301,25674162,4,30,0.189276419768,-0.431389643325,-0.34642565808,-0.81121308913,-41.5366179148,99.420371755,-1788.37253418,0.401032539209,25674162,4,30,-0.656914949393,0.725466977263,0.173059095564,-0.110503228948,-15.5839781489,-187.06156435,285.091554225,0.479491192809,25674162,4
1169,1787150819903,1019,2674,1874,3010,2085,2502,3233,1018,2679,1873,3022,2086,2499,3227,-1.56136094903,0.971347915825,-0.276731602154,1.43167905691,0.0122718463031,0.705793414643,1.81386786522,0.171723582136,0.596407669918,-0.361375446067,0.695856802497,19.3864109039,443.494760132,-1808.7553833,0.280358586709,25674918,4,30,0.189602906012,-0.431507947809,-0.346058012767,-0.811230843108,-41.6102456411,99.4565834045,-1788.34626872,0.374061178168,25674918,4,30,-0.664238991344,0.721146447936,0.174465042932,-0.0910840919321,-53.9487801978,-208.03956617,276.239857979,0.467464118573,25674918,4
1170,1787150831668,1096,2674,1873,2994,2086,2526,3316,1093,2679,1873,3005,2085,2523,3310,-1.44766961779,0.971347915825,-0.276731602154,1.40522411781,0.0107378655152,0.742859151955,1.94156170136,0.16668514865,0.596258895767,-0.366007700932,0.694787559832,20.4189137777,444.899910482,-1844.62421061,0.274594684442,25675623,4,30,0.189690897399,-0.431586651822,-0.345856882863,-0.811254178411,-41.6749257406,99.4941390991,-1788.35624593,0.373009734352,25675623,4,30,-0.662781753486,0.722266306641,0.172077360617,-0.0971653822076,-84.4697674118,-222.629663404,263.870739238,0.463183012043,25675623,4
