pose_id,elapsed_ms,valid,tx_mm,ty_mm,tz_mm,error
5,562,1,346.655,-180.649,-108.307,0.459072
5,838,1,346.654,-180.744,-108.249,0.445315
5,1125,1,346.708,-180.611,-108.214,0.456123
5,1408,1,346.598,-180.568,-108.596,0.433622
5,1690,1,346.44,-180.677,-108.741,0.429219
5,1977,1,346.597,-180.625,-108.426,0.436068
5,2255,1,346.531,-180.813,-108.344,0.438099
5,2544,1,346.484,-180.581,-108.798,0.435902
5,2821,1,346.154,-181.223,-108.785,0.418355
5,3109,1,346.689,-180.589,-108.366,0.479129
5,3386,1,346.624,-180.565,-108.468,0.437061
5,3675,1,346.42,-180.805,-108.564,0.417752
5,3957,1,346.271,-181.027,-108.665,0.43501
6,0,1,301.94,-307.392,-124.847,0.392698
6,277,1,301.413,-308.19,-125.059,0.398673
6,557,1,301.081,-309.034,-124.201,0.374487
6,843,1,301.601,-308.304,-124.568,0.397876
6,1119,1,301.219,-308.734,-124.434,0.398824
6,1403,1,301.284,-308.551,-124.666,0.395607
6,1694,1,301.297,-308.739,-124.272,0.405254
6,1968,1,300.938,-308.906,-124.621,0.36724
6,2258,1,301.016,-308.865,-124.544,0.360413
6,2534,1,301.268,-308.64,-124.48,0.399209
6,2824,1,301.496,-308.492,-124.319,0.410117
6,3113,1,300.988,-309.056,-124.222,0.376724
6,3389,1,301.336,-308.684,-124.318,0.393615
6,3665,1,300.72,-309.215,-124.422,0.360859
6,3940,1,301.105,-308.786,-124.472,0.388043
7,0,1,144.53,-311.819,19.7859,0.392064
7,267,1,144.378,-311.885,19.6607,0.347272
7,553,1,144.117,-312.024,19.7415,0.417405
7,833,1,144.207,-311.961,19.6659,0.38356
7,1107,1,144.367,-311.894,19.704,0.395907
7,1389,1,144.17,-311.99,19.6671,0.378494
7,1666,1,144.54,-311.829,19.7931,0.407336
7,1955,1,144.285,-311.927,19.7963,0.3833
7,2239,1,144.896,-311.654,19.8559,0.41636
7,2526,1,144.08,-312.024,19.7218,0.375208
7,2801,1,144.393,-311.91,19.6857,0.366272
7,3089,1,144.472,-311.857,19.7998,0.400243
7,3373,1,144.023,-312.043,19.7032,0.399764
7,3646,1,144.366,-311.861,19.7292,0.401147
7,3917,1,143.988,-312.077,19.7374,0.374635
8,0,1,136.592,84.513,-253.561,0.430291
8,285,1,136.75,84.5965,-253.478,0.458422
8,563,1,137.161,84.7251,-253.208,0.433652
8,844,1,136.66,84.5729,-253.56,0.460083
8,1136,1,136.55,84.835,-253.48,0.443729
8,1418,1,136.512,84.6973,-253.583,0.46904
8,1701,1,136.642,84.523,-253.561,0.456292
8,1981,1,136.961,84.8337,-253.293,0.457895
8,2255,1,136.848,84.6849,-253.434,0.460072
8,2528,1,136.715,84.6033,-253.477,0.450245
8,2808,1,136.718,84.7071,-253.426,0.441523
8,3092,1,136.186,84.5229,-253.698,0.443499
8,3378,1,136.882,84.6278,-253.404,0.46489
8,3663,1,136.731,84.7531,-253.454,0.465669
8,3940,1,136.936,84.5511,-253.367,0.473839
9,0,1,260.704,53.4696,-200.156,0.418741
9,276,1,260.875,53.3949,-200.005,0.402685
9,559,1,260.923,53.3999,-199.921,0.404315
9,841,1,260.778,53.4311,-200.081,0.419881
9,1133,1,260.62,53.4272,-200.202,0.428849
9,1406,1,260.492,53.3649,-200.414,0.415899
9,1674,1,260.858,53.6905,-199.963,0.440722
9,1957,1,261.05,53.3125,-199.836,0.415695
9,2243,1,260.978,53.2246,-199.927,0.41545
9,2529,1,260.83,53.6331,-200.067,0.456558
9,2811,1,260.577,53.4267,-200.297,0.39675
9,3098,1,260.462,53.4678,-200.423,0.39795
9,3373,1,260.634,53.4217,-200.36,0.431942
9,3657,1,261.014,53.7478,-199.831,0.436548
9,3943,1,260.987,53.3065,-199.855,0.374546
10,0,1,360.159,-44.6423,-138.195,0.454969
10,269,1,359.59,-45.9005,-138.949,0.423563
10,538,1,359.602,-45.5861,-138.965,0.390707
10,820,1,359.752,-44.9739,-138.83,0.41195
10,1112,1,359.752,-45.0139,-138.892,0.386574
10,1387,1,359.965,-45.2752,-138.465,0.435286
10,1680,1,359.77,-45.0139,-138.806,0.413697
10,1957,1,359.937,-45.0459,-138.443,0.452484
10,2234,1,359.749,-45.005,-138.836,0.406228
10,2528,1,359.953,-44.7251,-138.568,0.398197
10,2804,1,359.476,-45.5495,-139.286,0.392742
10,3089,1,359.844,-45.1243,-138.715,0.382879
10,3373,1,359.795,-45.2745,-138.673,0.455234
10,3649,1,360.092,-45.3686,-138.126,0.438018
10,3916,1,359.919,-45.3626,-138.471,0.425222
11,0,1,374.398,-151.561,-59.6907,0.450004
11,275,1,374.058,-152.203,-60.1151,0.384226
11,569,1,374.296,-151.577,-60.1816,0.419787
11,836,1,374.434,-151.493,-59.8534,0.398528
11,1116,1,374.654,-151.111,-59.7786,0.419234
11,1392,1,374.461,-151.513,-59.7625,0.421765
11,1673,1,374.845,-150.824,-59.4132,0.449246
11,1961,1,374.505,-151.548,-59.3623,0.411938
11,2235,1,374.509,-151.647,-59.2639,0.429967
11,2502,1,374.553,-151.35,-59.766,0.414713
11,2784,1,374.377,-151.845,-59.6744,0.400668
11,3059,1,374.377,-151.503,-59.9454,0.395497
11,3346,1,374.514,-151.455,-59.6784,0.396266
11,3631,1,374.511,-151.689,-59.3438,0.393143
11,3905,1,374.363,-152.025,-59.3808,0.368898
12,0,1,351.181,-197.028,150.845,0.404384
12,273,1,351.213,-196.64,151.366,0.438973
12,556,1,351.201,-196.634,151.596,0.426078
12,841,1,350.842,-197.352,151.201,0.398321
12,1127,1,351.326,-196.455,151.374,0.476913
12,1411,1,350.595,-197.525,151.799,0.445974
12,1692,1,351.334,-196.254,151.696,0.473955
12,1969,1,351.165,-196.762,151.481,0.438686
